tempo: 0  pul1: 0  pul2: 0  pul3: 1
tempo: 28  pul1: 3  pul2: 3  pul3: 5
tempo: 44  pul1: 7  pul2: 7  pul3: 9
tempo: 61  pul1: 13  pul2: 12  pul3: 15
tempo: 80  pul1: 20  pul2: 19  pul3: 22
tempo: 96  pul1: 26  pul2: 25  pul3: 29
tempo: 113  pul1: 34  pul2: 33  pul3: 37
tempo: 129  pul1: 41  pul2: 40  pul3: 44
tempo: 146  pul1: 49  pul2: 48  pul3: 52
tempo: 168  pul1: 59  pul2: 58  pul3: 62
tempo: 194  pul1: 72  pul2: 71  pul3: 75
tempo: 212  pul1: 81  pul2: 80  pul3: 83
tempo: 231  pul1: 90  pul2: 89  pul3: 93
tempo: 246  pul1: 98  pul2: 97  pul3: 100
tempo: 262  pul1: 106  pul2: 105  pul3: 108
tempo: 283  pul1: 117  pul2: 116  pul3: 119
tempo: 297  pul1: 123  pul2: 122  pul3: 125
tempo: 328  pul1: 139  pul2: 138  pul3: 141
tempo: 345  pul1: 148  pul2: 147  pul3: 150
tempo: 362  pul1: 157  pul2: 156  pul3: 158
tempo: 379  pul1: 165  pul2: 164  pul3: 166
tempo: 396  pul1: 174  pul2: 173  pul3: 175
tempo: 427  pul1: 189  pul2: 189  pul3: 191
tempo: 450  pul1: 200  pul2: 201  pul3: 202
tempo: 461  pul1: 206  pul2: 207  pul3: 208
tempo: 479  pul1: 214  pul2: 215  pul3: 217
tempo: 498  pul1: 224  pul2: 225  pul3: 227
tempo: 513  pul1: 231  pul2: 233  pul3: 234
tempo: 544  pul1: 247  pul2: 249  pul3: 249
tempo: 565  pul1: 257  pul2: 259  pul3: 260
tempo: 581  pul1: 265  pul2: 268  pul3: 268
tempo: 596  pul1: 272  pul2: 275  pul3: 276
tempo: 613  pul1: 280  pul2: 284  pul3: 284
tempo: 629  pul1: 289  pul2: 292  pul3: 292
tempo: 646  pul1: 297  pul2: 301  pul3: 301
tempo: 663  pul1: 305  pul2: 309  pul3: 309
tempo: 680  pul1: 314  pul2: 318  pul3: 318
tempo: 711  pul1: 329  pul2: 334  pul3: 333
tempo: 729  pul1: 338  pul2: 343  pul3: 342
tempo: 746  pul1: 346  pul2: 351  pul3: 351
tempo: 768  pul1: 357  pul2: 362  pul3: 362
tempo: 780  pul1: 363  pul2: 369  pul3: 368
tempo: 811  pul1: 378  pul2: 385  pul3: 383
tempo: 828  pul1: 387  pul2: 393  pul3: 392
tempo: 849  pul1: 397  pul2: 404  pul3: 402
tempo: 862  pul1: 404  pul2: 411  pul3: 409
tempo: 882  pul1: 414  pul2: 421  pul3: 419
tempo: 898  pul1: 421  pul2: 429  pul3: 427
tempo: 928  pul1: 437  pul2: 444  pul3: 442
tempo: 945  pul1: 446  pul2: 453  pul3: 451
tempo: 962  pul1: 454  pul2: 462  pul3: 459
tempo: 980  pul1: 463  pul2: 471  pul3: 468
tempo: 1011  pul1: 479  pul2: 487  pul3: 484
tempo: 1028  pul1: 488  pul2: 495  pul3: 492
tempo: 1045  pul1: 496  pul2: 504  pul3: 501
tempo: 1064  pul1: 506  pul2: 514  pul3: 510
tempo: 1077  pul1: 513  pul2: 521  pul3: 517
tempo: 1100  pul1: 525  pul2: 532  pul3: 529
tempo: 1112  pul1: 531  pul2: 539  pul3: 535
tempo: 1129  pul1: 539  pul2: 547  pul3: 543
tempo: 1145  pul1: 548  pul2: 555  pul3: 551
tempo: 1162  pul1: 556  pul2: 564  pul3: 560
tempo: 1180  pul1: 565  pul2: 573  pul3: 569
