tempo: 0  pulsos 1: 0  pulsos 2: 1  pulsos 3: 3
tempo: 34  pulsos 1: 11  pulsos 2: 15  pulsos 3: 21
tempo: 89  pulsos 1: 33  pulsos 2: 38  pulsos 3: 45
tempo: 144  pulsos 1: 60  pulsos 2: 65  pulsos 3: 72
tempo: 200  pulsos 1: 87  pulsos 2: 93  pulsos 3: 100
tempo: 258  pulsos 1: 116  pulsos 2: 122  pulsos 3: 130
tempo: 317  pulsos 1: 146  pulsos 2: 153  pulsos 3: 160
tempo: 376  pulsos 1: 175  pulsos 2: 183  pulsos 3: 190
tempo: 436  pulsos 1: 205  pulsos 2: 214  pulsos 3: 219
tempo: 495  pulsos 1: 234  pulsos 2: 244  pulsos 3: 249
tempo: 554  pulsos 1: 264  pulsos 2: 275  pulsos 3: 280
tempo: 614  pulsos 1: 294  pulsos 2: 305  pulsos 3: 310
tempo: 673  pulsos 1: 324  pulsos 2: 336  pulsos 3: 340
tempo: 733  pulsos 1: 355  pulsos 2: 367  pulsos 3: 370
tempo: 792  pulsos 1: 385  pulsos 2: 397  pulsos 3: 400
tempo: 851  pulsos 1: 416  pulsos 2: 428  pulsos 3: 430
tempo: 911  pulsos 1: 446  pulsos 2: 458  pulsos 3: 460
tempo: 970  pulsos 1: 477  pulsos 2: 489  pulsos 3: 490
tempo: 1029  pulsos 1: 508  pulsos 2: 520  pulsos 3: 521
tempo: 1090  pulsos 1: 539  pulsos 2: 551  pulsos 3: 551
tempo: 1150  pulsos 1: 570  pulsos 2: 582  pulsos 3: 582
tempo: 1211  pulsos 1: 601  pulsos 2: 613  pulsos 3: 612
tempo: 1271  pulsos 1: 632  pulsos 2: 644  pulsos 3: 643
tempo: 1332  pulsos 1: 663  pulsos 2: 676  pulsos 3: 673
tempo: 1392  pulsos 1: 694  pulsos 2: 707  pulsos 3: 704
tempo: 1452  pulsos 1: 725  pulsos 2: 738  pulsos 3: 735
tempo: 1513  pulsos 1: 756  pulsos 2: 769  pulsos 3: 765
tempo: 1573  pulsos 1: 787  pulsos 2: 800  pulsos 3: 796
tempo: 1634  pulsos 1: 818  pulsos 2: 831  pulsos 3: 827
tempo: 1694  pulsos 1: 849  pulsos 2: 862  pulsos 3: 857
tempo: 1754  pulsos 1: 879  pulsos 2: 893  pulsos 3: 888
tempo: 1815  pulsos 1: 909  pulsos 2: 924  pulsos 3: 918
tempo: 1875  pulsos 1: 939  pulsos 2: 955  pulsos 3: 949
tempo: 1936  pulsos 1: 969  pulsos 2: 986  pulsos 3: 980
tempo: 1996  pulsos 1: 999  pulsos 2: 1017  pulsos 3: 1011
tempo: 2059  pulsos 1: 1030  pulsos 2: 1050  pulsos 3: 1043
tempo: 2122  pulsos 1: 1062  pulsos 2: 1082  pulsos 3: 1075
tempo: 2186  pulsos 1: 1094  pulsos 2: 1115  pulsos 3: 1107
tempo: 2249  pulsos 1: 1127  pulsos 2: 1147  pulsos 3: 1139
tempo: 2313  pulsos 1: 1159  pulsos 2: 1180  pulsos 3: 1171
tempo: 2376  pulsos 1: 1191  pulsos 2: 1213  pulsos 3: 1204
tempo: 2440  pulsos 1: 1223  pulsos 2: 1245  pulsos 3: 1236
tempo: 2503  pulsos 1: 1256  pulsos 2: 1278  pulsos 3: 1268
tempo: 2567  pulsos 1: 1288  pulsos 2: 1311  pulsos 3: 1300
tempo: 2630  pulsos 1: 1321  pulsos 2: 1344  pulsos 3: 1332
tempo: 2694  pulsos 1: 1353  pulsos 2: 1376  pulsos 3: 1365
tempo: 2758  pulsos 1: 1386  pulsos 2: 1409  pulsos 3: 1397
tempo: 2821  pulsos 1: 1419  pulsos 2: 1442  pulsos 3: 1429
tempo: 2885  pulsos 1: 1451  pulsos 2: 1475  pulsos 3: 1461
tempo: 2948  pulsos 1: 1484  pulsos 2: 1507  pulsos 3: 1493
tempo: 3012  pulsos 1: 1516  pulsos 2: 1540  pulsos 3: 1526
tempo: 3075  pulsos 1: 1547  pulsos 2: 1573  pulsos 3: 1558
tempo: 3139  pulsos 1: 1579  pulsos 2: 1605  pulsos 3: 1590
tempo: 3202  pulsos 1: 1611  pulsos 2: 1638  pulsos 3: 1622
tempo: 3266  pulsos 1: 1642  pulsos 2: 1670  pulsos 3: 1654
tempo: 3329  pulsos 1: 1674  pulsos 2: 1703  pulsos 3: 1686
tempo: 3393  pulsos 1: 1706  pulsos 2: 1736  pulsos 3: 1718
tempo: 3456  pulsos 1: 1737  pulsos 2: 1768  pulsos 3: 1751
tempo: 3520  pulsos 1: 1770  pulsos 2: 1801  pulsos 3: 1783
tempo: 3584  pulsos 1: 1802  pulsos 2: 1833  pulsos 3: 1815
tempo: 3647  pulsos 1: 1835  pulsos 2: 1866  pulsos 3: 1847
tempo: 3711  pulsos 1: 1867  pulsos 2: 1899  pulsos 3: 1879
tempo: 3774  pulsos 1: 1900  pulsos 2: 1931  pulsos 3: 1911
tempo: 3838  pulsos 1: 1932  pulsos 2: 1964  pulsos 3: 1944
tempo: 3901  pulsos 1: 1965  pulsos 2: 1997  pulsos 3: 1976
tempo: 3965  pulsos 1: 1998  pulsos 2: 2030  pulsos 3: 2008
tempo: 4028  pulsos 1: 2030  pulsos 2: 2062  pulsos 3: 2040
tempo: 4092  pulsos 1: 2063  pulsos 2: 2095  pulsos 3: 2072
tempo: 4155  pulsos 1: 2096  pulsos 2: 2128  pulsos 3: 2105
tempo: 4219  pulsos 1: 2128  pulsos 2: 2160  pulsos 3: 2137
tempo: 4283  pulsos 1: 2161  pulsos 2: 2193  pulsos 3: 2169
tempo: 4346  pulsos 1: 2193  pulsos 2: 2226  pulsos 3: 2201
tempo: 4410  pulsos 1: 2226  pulsos 2: 2258  pulsos 3: 2234
tempo: 4473  pulsos 1: 2259  pulsos 2: 2291  pulsos 3: 2266
tempo: 4537  pulsos 1: 2291  pulsos 2: 2324  pulsos 3: 2298
tempo: 4600  pulsos 1: 2324  pulsos 2: 2356  pulsos 3: 2330
tempo: 4664  pulsos 1: 2356  pulsos 2: 2389  pulsos 3: 2363
tempo: 4727  pulsos 1: 2389  pulsos 2: 2422  pulsos 3: 2395
tempo: 4791  pulsos 1: 2422  pulsos 2: 2454  pulsos 3: 2427
tempo: 4854  pulsos 1: 2454  pulsos 2: 2487  pulsos 3: 2459
tempo: 4918  pulsos 1: 2487  pulsos 2: 2520  pulsos 3: 2491
tempo: 4981  pulsos 1: 2519  pulsos 2: 2553  pulsos 3: 2524
tempo: 5045  pulsos 1: 2552  pulsos 2: 2585  pulsos 3: 2556
tempo: 5109  pulsos 1: 2585  pulsos 2: 2618  pulsos 3: 2588
tempo: 5172  pulsos 1: 2617  pulsos 2: 2651  pulsos 3: 2620
tempo: 5236  pulsos 1: 2650  pulsos 2: 2683  pulsos 3: 2652
tempo: 5299  pulsos 1: 2682  pulsos 2: 2716  pulsos 3: 2685
tempo: 5363  pulsos 1: 2715  pulsos 2: 2749  pulsos 3: 2717
tempo: 5426  pulsos 1: 2748  pulsos 2: 2781  pulsos 3: 2749
tempo: 5490  pulsos 1: 2780  pulsos 2: 2814  pulsos 3: 2781
tempo: 5553  pulsos 1: 2813  pulsos 2: 2847  pulsos 3: 2813
tempo: 5617  pulsos 1: 2846  pulsos 2: 2879  pulsos 3: 2846
tempo: 5680  pulsos 1: 2878  pulsos 2: 2912  pulsos 3: 2878
tempo: 5744  pulsos 1: 2910  pulsos 2: 2945  pulsos 3: 2910
tempo: 5808  pulsos 1: 2942  pulsos 2: 2978  pulsos 3: 2942
